state_id,start_x,start_y,goal_x,goal_y,robot_x,robot_y,delta_x,delta_y,euclidean_dist,angle_to_goal,obs_dist_up,obs_dist_down,obs_dist_left,obs_dist_right,selected_action,joint_angle_1,joint_angle_2,path_length_so_far,reward,converged_flag,episode_id,time_step,obs_grid_flat_0,obs_grid_flat_1,obs_grid_flat_2,obs_grid_flat_3,obs_grid_flat_4,obs_grid_flat_5,obs_grid_flat_6,obs_grid_flat_7,obs_grid_flat_8,obs_grid_flat_9,obs_grid_flat_10,obs_grid_flat_11,obs_grid_flat_12,obs_grid_flat_13,obs_grid_flat_14,obs_grid_flat_15,obs_grid_flat_16,obs_grid_flat_17,obs_grid_flat_18,obs_grid_flat_19,obs_grid_flat_20,obs_grid_flat_21,obs_grid_flat_22,obs_grid_flat_23,obs_grid_flat_24
1221,0,2,2,2,3,2,-1,0,1.0,180.0,2,1,3,1,2,14.93,177.5,2.52,0.99,1,16,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10620,2,2,4,1,0,2,4,-1,4.12,-14.04,2,2,0,3,0,171.26,11.61,5.8,0.97,1,19,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6068,1,0,2,3,0,2,2,1,2.24,26.57,2,2,0,0,1,19.19,32.51,3.11,0.98,1,16,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
8559,0,0,4,0,0,4,4,-4,5.66,-45.0,4,0,0,1,0,86.47,85.69,1.23,0.99,1,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1
2935,1,4,2,0,4,3,-2,-3,3.61,-123.69,1,1,4,0,0,72.79,137.01,4.79,0.96,1,36,10,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5286,2,1,3,0,4,0,-1,0,1.0,180.0,0,0,2,0,2,11.23,115.73,8.44,0.99,1,44,21,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10354,3,1,4,4,0,2,4,2,4.47,26.57,2,1,0,0,1,11.73,28.51,2.67,0.91,1,43,47,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
1839,4,3,4,0,1,4,3,-4,5.0,-53.13,0,0,1,3,3,65.86,3.91,5.44,0.92,1,19,29,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14847,2,2,3,2,0,2,3,0,3.0,0.0,2,2,0,4,3,45.99,9.47,2.71,0.97,1,36,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9726,0,4,3,1,4,2,-1,-1,1.41,-135.0,2,2,0,0,0,137.47,150.12,9.75,1.0,1,7,35,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
14143,0,2,0,2,1,0,-1,2,2.24,116.57,0,4,1,2,1,107.95,81.73,7.65,0.98,1,48,7,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
9035,3,0,3,2,4,2,-1,0,1.0,180.0,2,1,4,0,2,117.02,14.86,5.98,1.0,1,46,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
12818,1,3,4,4,3,1,1,3,3.16,71.57,1,1,2,1,1,140.8,39.37,6.68,0.98,1,21,17,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
13447,0,4,2,4,1,4,1,0,1.0,0.0,4,0,1,1,3,42.86,56.35,6.02,0.91,1,37,30,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
12067,4,4,2,2,3,2,-1,0,1.0,180.0,1,0,2,0,2,175.72,14.39,5.01,0.95,1,48,30,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0
9354,1,2,4,1,0,2,4,-1,4.12,-14.04,0,2,0,2,3,95.31,138.99,7.0,0.94,1,2,47,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
12739,3,1,2,0,0,1,2,-1,2.24,-26.57,0,3,0,4,3,114.05,1.47,7.65,0.96,1,48,6,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2242,3,3,2,4,3,1,-1,3,3.16,108.43,1,2,2,1,1,5.88,136.44,9.61,0.92,1,29,23,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0
13085,2,2,4,3,4,1,0,2,2.0,90.0,1,3,0,0,1,13.64,144.3,8.02,0.92,1,29,7,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9305,0,3,0,0,0,2,0,-2,2.0,-90.0,0,2,0,4,1,111.14,155.53,1.55,0.9,1,50,43,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9667,4,4,2,3,4,4,-2,-1,2.24,-153.43,4,0,0,0,0,3.78,124.62,1.75,0.99,1,46,24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
12399,2,0,2,1,2,2,0,-1,1.0,-90.0,2,2,1,1,0,114.74,110.05,9.3,0.94,1,4,37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
6689,3,0,3,1,2,1,1,0,1.0,0.0,1,3,1,2,3,70.02,36.76,6.59,0.93,1,38,31,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
9200,2,0,3,2,0,1,3,1,3.16,18.43,1,0,0,4,3,157.2,21.45,4.4,1.0,1,12,10,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
10255,4,1,0,2,2,2,-2,0,2.0,180.0,0,2,2,2,2,115.15,174.88,2.42,0.96,1,16,35,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
9640,2,2,3,4,2,4,1,0,1.0,0.0,4,0,2,2,3,91.24,10.21,4.0,0.93,1,44,34,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7053,3,3,3,4,4,1,-1,3,3.16,108.43,0,0,4,0,2,98.87,171.01,1.62,0.97,1,14,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13860,2,1,4,1,3,4,1,-3,3.16,-71.57,0,0,3,1,3,120.89,46.87,4.74,0.92,1,28,38,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0
734,1,3,4,2,2,3,2,-1,2.24,-26.57,3,1,2,2,0,165.09,79.23,7.85,0.95,1,26,33,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5541,4,4,1,1,4,3,-3,-2,3.61,-146.31,2,1,4,0,0,38.35,159.49,2.83,0.97,1,4,43,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14466,4,2,1,0,4,3,-3,-3,4.24,-135.0,1,0,0,0,0,141.95,22.05,8.27,0.95,1,25,15,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
12477,3,2,3,1,0,3,3,-2,3.61,-33.69,3,0,0,4,0,15.72,20.13,1.98,0.97,1,39,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
12019,2,3,4,3,0,4,4,-1,4.12,-14.04,2,0,0,0,0,137.68,26.87,6.08,0.93,1,43,37,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
146,0,1,1,2,0,1,1,1,1.41,45.0,1,0,0,1,3,164.58,58.05,5.83,0.98,1,5,39,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
13808,2,1,4,1,2,2,2,-1,2.24,-26.57,1,2,2,1,0,24.53,173.55,6.93,0.91,1,7,27,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9683,0,4,1,0,2,0,-1,0,1.0,180.0,0,4,2,2,2,62.74,65.6,8.28,0.93,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
1550,4,1,4,0,4,0,0,0,0.0,0.0,0,1,1,0,1,38.39,165.59,5.03,0.94,1,35,38,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
3900,0,4,3,1,2,1,1,0,1.0,0.0,1,3,2,1,3,13.57,111.73,4.07,0.91,1,23,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6321,1,4,1,4,3,0,-2,4,4.47,116.57,0,1,1,1,1,173.97,89.0,5.99,0.92,1,27,38,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0
13746,1,3,1,4,0,2,1,2,2.24,63.43,2,2,0,0,1,48.93,49.93,8.35,0.99,1,4,39,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0
9067,2,3,4,4,2,4,2,0,2.0,0.0,4,0,2,2,3,45.58,28.52,1.88,0.94,1,40,21,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
5987,0,4,2,0,3,4,-1,-4,4.12,-104.04,4,0,3,1,0,95.16,25.65,8.19,0.95,1,39,44,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8348,0,1,2,1,3,3,-1,-2,2.24,-116.57,0,1,2,1,2,108.93,110.75,3.1,0.91,1,42,8,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
7489,3,3,4,3,2,0,2,3,3.61,56.31,0,0,2,2,3,145.86,87.45,3.53,0.9,1,18,30,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8326,4,1,2,4,1,0,1,4,4.12,75.96,0,4,1,0,1,130.93,128.26,7.1,0.99,1,13,20,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2645,3,1,3,0,3,4,0,-4,4.0,-90.0,4,0,0,0,0,10.94,16.95,4.6,0.96,1,20,23,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
13858,3,0,3,3,0,0,3,3,4.24,45.0,0,0,0,4,3,60.19,41.79,9.83,0.95,1,31,39,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
4613,3,3,4,1,3,1,1,0,1.0,0.0,0,3,3,1,3,59.81,74.68,8.19,0.95,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
8144,0,2,0,2,3,1,-3,1,3.16,161.57,1,0,1,1,2,137.01,177.14,7.57,0.96,1,5,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13181,1,3,3,4,0,3,3,1,3.16,18.43,0,1,0,4,1,156.0,36.91,3.92,1.0,1,21,26,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
10485,1,0,1,3,4,0,-3,3,4.24,135.0,0,2,3,0,1,47.74,21.52,1.46,0.92,1,23,41,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
2713,3,2,3,0,4,3,-1,-3,3.16,-108.43,3,1,0,0,0,42.7,24.09,1.37,0.9,1,39,21,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
3621,1,1,3,3,4,4,-1,-1,1.41,-135.0,2,0,2,0,0,79.16,32.07,6.46,0.96,1,35,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
11410,2,4,4,3,2,3,2,0,2.0,0.0,3,1,0,2,3,128.34,137.67,5.44,0.98,1,11,36,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
987,3,3,3,3,2,3,1,0,1.0,0.0,3,1,0,2,3,9.94,107.97,9.16,1.0,1,9,23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11885,4,3,1,4,2,0,-1,4,4.12,104.04,0,4,2,2,1,141.54,19.56,4.43,0.98,1,48,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11665,2,3,0,3,1,3,-1,0,1.0,180.0,3,1,1,1,2,102.58,40.4,3.54,0.97,1,14,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
7587,4,2,0,0,1,2,-1,-2,2.24,-116.57,2,1,1,1,0,13.49,111.53,8.71,0.94,1,8,48,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1
6834,4,1,3,3,3,2,0,1,1.0,90.0,0,2,2,0,1,23.37,134.97,8.75,0.96,1,39,18,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5568,1,3,1,2,2,2,-1,0,1.0,180.0,2,2,1,0,2,24.71,42.49,2.88,1.0,1,24,5,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
4616,2,4,3,0,2,2,1,-2,2.24,-63.43,1,2,2,2,0,116.23,126.9,9.25,0.96,1,35,34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9135,2,2,2,3,1,3,1,0,1.0,0.0,2,1,0,3,3,147.05,97.9,1.86,0.9,1,46,36,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
8250,2,4,0,0,1,1,-1,-1,1.41,-135.0,1,3,1,2,0,84.12,76.71,9.33,0.96,1,41,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
5868,4,2,1,3,1,4,0,-1,1.0,-90.0,1,0,1,2,0,154.62,96.29,1.46,0.92,1,21,20,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
8357,1,4,0,2,1,2,-1,0,1.0,180.0,2,2,1,3,2,68.68,11.95,5.57,0.95,1,22,23,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
544,4,1,4,3,2,0,2,3,3.61,56.31,0,4,2,0,1,86.98,123.66,9.83,0.99,1,35,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,3,2,2,2,3,2,-1,0,1.0,180.0,2,2,1,1,2,70.85,44.23,5.77,0.94,1,16,43,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
5462,2,1,1,3,3,3,-2,0,2.0,180.0,3,1,3,1,2,5.65,29.43,6.74,0.97,1,43,46,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4495,1,0,1,4,3,0,-2,4,4.47,116.57,0,4,3,1,1,136.93,105.74,3.71,0.99,1,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4527,1,0,2,4,4,1,-2,3,3.61,123.69,0,0,1,0,2,52.85,31.34,3.97,0.93,1,40,48,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
10635,0,1,2,0,3,1,-1,-1,1.41,-135.0,0,3,1,1,2,71.21,123.76,6.2,0.91,1,15,33,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10825,0,4,1,2,4,1,-3,1,3.16,161.57,1,0,4,0,2,85.55,38.28,7.42,0.97,1,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1
1195,1,2,0,0,1,0,-1,0,1.0,180.0,0,0,1,3,2,59.78,142.79,7.65,0.92,1,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
319,1,0,4,1,1,1,3,0,3.0,0.0,1,2,1,3,3,77.95,173.15,8.62,0.95,1,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
6809,1,0,2,4,3,4,-1,0,1.0,180.0,4,0,2,1,2,23.02,122.76,5.35,0.92,1,2,10,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13537,0,2,2,1,1,0,1,1,1.41,45.0,0,2,0,1,1,1.81,82.13,1.31,0.97,1,25,20,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
12639,4,0,0,0,3,3,-3,-3,4.24,-135.0,3,1,0,1,0,106.62,16.92,6.36,0.99,1,22,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
